Project;# Pull Request;FSL;NF;NT;NC;NB;Suggested Lines;Details
[classgraph_classgraph](https://github.com/classgraph/classgraph);;;;;;;;[Link](data/classgraph_classgraph)
;[606](https://github.com/classgraph/classgraph/pull/606);;x;;;;;
[Col-E_Recaf](https://github.com/Col-E/Recaf);;;;;;;;[Link](data/Col-E_Recaf)
;[433](https://github.com/Col-E/Recaf/pull/433);;x;;;;;
[INRIA_spoon](https://github.com/INRIA/spoon);;;;;;;;[Link](data/INRIA_spoon)
;[4318](https://github.com/INRIA/spoon/pull/4318);x;;;;;;
;[4320](https://github.com/INRIA/spoon/pull/4320);x;;;;;;
;[4322](https://github.com/INRIA/spoon/pull/4322);x;;;;;;
;[4331](https://github.com/INRIA/spoon/pull/4331);x;;;;;;
;[4340](https://github.com/INRIA/spoon/pull/4340);;x;;;;;
;[4341](https://github.com/INRIA/spoon/pull/4341);x;;;;;;
;[4343](https://github.com/INRIA/spoon/pull/4343);x;;;;;;
;[4344](https://github.com/INRIA/spoon/pull/4344);;x;;;;;
;;;x;;;;;
[TheAlgorithms_Java](https://github.com/TheAlgorithms/Java);;;;;;;;[Link](data/TheAlgorithms_Java)
;[2860](https://github.com/TheAlgorithms/Java/pull/2860);;x;;;;;
;;;x;;;;;
;[2867](https://github.com/TheAlgorithms/Java/pull/2867);;;x;;;;
;;;;x;;;;
;[2869](https://github.com/TheAlgorithms/Java/pull/2869);;x;;;;;
;;;x;;;;;